Temperature,Delta Temperature,Moment,Delta Moment,Temperature,Delta Temperature,Moment,Delta Moment,Temperature,Delta Temperature,Moment,Delta Moment,Temperature,Delta Temperature,Moment,Delta Moment
As Grown,As Grown,As Grown,As Grown,Gd (3 nm),Gd (3 nm),Gd (3 nm),Gd (3 nm),Gd (7 nm),Gd (7 nm),Gd (7 nm),Gd (7 nm),Gd (20 nm),Gd (20 nm),Gd (20 nm),Gd (20 nm)
2.000133,0.001468062,-1.08245E-4,1.337411E-7,1.998659,0.001753092,-5.935386E-5,3.501116E-7,2.002125,0.004802227,-1.639542E-4,1.478124E-7,1.998637,3.160238E-4,9.620012E-8,1.939058E-8
3.999945,0.009370089,-1.078427E-4,5.617179E-8,3.996103,0.02042198,-5.920765E-5,4.751553E-8,3.999717,0.01228094,-1.633257E-4,5.752078E-7,4.01121,0.009980679,-4.448931E-8,1.203491E-7
5.998498,0.008131981,-1.076445E-4,2.550831E-8,6.005588,0.02667332,-5.941845E-5,2.704406E-8,5.998152,0.006596088,-1.621551E-4,9.591701E-7,6.0003,0.005984783,-1.457127E-7,1.362561E-7
8.012282,0.03539228,-1.07504E-4,2.367828E-7,8.014754,0.03993988,-5.926343E-5,8.809062E-8,8.005507,0.01902962,-1.60727E-4,1.067285E-6,8.010056,0.03164577,-1.482801E-8,1.281182E-8
9.999086,0.01360321,-1.075908E-4,1.470561E-7,9.992153,0.005072594,-5.912963E-5,6.663389E-8,9.995263,0.0144577,-1.591033E-4,9.863659E-7,10.00817,0.02608395,9.185285E-8,9.373696E-8
11.99352,5.998611E-4,-1.076495E-4,5.982465E-8,11.99368,0.006830215,-5.902885E-5,1.12979E-7,11.98895,0.006400108,-1.573713E-4,1.331279E-6,12.00195,0.007820129,-1.540743E-7,2.255942E-7
14.00601,0.005439758,-1.074009E-4,8.184473E-8,14.0043,0.006119728,-5.891318E-5,2.141556E-8,14.00202,0.003540039,-1.556105E-4,1.317573E-6,13.99741,0.004000664,4.636595E-8,2.630043E-8
15.99232,0.003259659,-1.076706E-4,2.764652E-7,15.99232,0.006539345,-5.877893E-5,2.096538E-8,15.99134,0.004570007,-1.536252E-4,1.128612E-6,15.99673,0.008501053,-8.828937E-8,2.709382E-8
17.99232,0.001649857,-1.07528E-4,1.155849E-7,17.99149,0.004961014,-5.862485E-5,5.180893E-9,17.9917,0.00330162,-1.514769E-4,1.404254E-6,17.99253,0.00661087,-1.476437E-10,1.623834E-7
19.99549,0.006099701,-1.076359E-4,5.865162E-8,19.99498,0.005081177,-5.847134E-5,4.863454E-8,19.99194,0.006090164,-1.484538E-4,2.045491E-6,19.99194,0.006099701,-3.236643E-9,1.2322E-7
21.99136,0.004291534,-1.074672E-4,4.65663E-8,21.99151,0.004291534,-5.823281E-5,1.557664E-7,21.99151,0.004289627,-2.4428E-4,1.388819E-4,21.99136,0.004291534,-1.165576E-7,2.412017E-7
23.9935,0.005081177,-1.074734E-4,1.36046E-7,23.99168,0.008699417,-5.792082E-5,1.078032E-7,23.99059,0.006528854,-1.395993E-4,2.714798E-6,23.98824,0.00361824,8.702968E-8,8.700471E-8
25.99884,0.01265144,-1.074985E-4,1.332524E-7,26.00348,0.003370285,-5.76571E-5,1.115924E-8,25.99905,0.004211426,-1.324343E-4,5.459365E-6,25.99862,0.005060196,-6.79571E-8,2.612391E-8
27.99591,9.708405E-4,-1.074592E-4,1.018686E-7,27.99883,0.002910614,-5.730325E-5,1.408128E-7,28.00149,0.001939774,-1.217287E-4,6.224856E-6,28.00149,0.005819321,-3.852659E-8,3.88765E-7
29.99434,0.01327133,-1.073393E-4,1.909779E-8,30.00153,0.006639481,-5.685401E-5,2.316739E-8,29.99766,0.007740021,-1.11173E-4,7.705362E-6,30.00098,0.006639481,2.114292E-8,3.081039E-7
32.005,0.006248474,-1.071116E-4,7.02276E-8,32.00438,0.01250076,-5.650984E-5,3.210919E-8,32.00219,0.003749847,-1.000982E-4,6.26777E-6,32.00344,0.007511139,3.003894E-8,7.310508E-9
34.0005,0.01261902,-1.069075E-4,2.813117E-7,34.00085,0.008419037,-5.590781E-5,6.153018E-8,34.00295,0.005607605,-9.13105E-5,3.836819E-6,34.00681,0.01122665,7.370429E-9,4.229115E-8
36.0048,0.010952,-1.070594E-4,7.551653E-8,36.00559,0.003120422,-5.55432E-5,6.508787E-8,36.00285,0.007820129,-8.450825E-5,4.107702E-6,36.0052,0.006259918,6.341341E-8,3.074133E-8
38.01071,0.0155983,-1.071308E-4,6.11366E-8,38.00681,0.008666992,-5.49813E-5,8.926108E-8,38.00421,0.008659363,-7.930376E-5,2.350474E-6,37.99598,0.0190506,-7.796168E-8,1.823559E-7
40.01056,0.01143265,-1.069195E-4,1.439897E-7,40.00246,0.01334,-5.453834E-5,2.575013E-9,40.00866,0.01144028,-5.746396E-5,2.850054E-5,40.00961,0.007629395,1.703215E-7,2.664833E-7
42.01053,0.01042938,-1.067565E-4,5.638273E-8,42.00793,0.0166893,-5.398558E-5,4.613927E-8,42.01053,0.01251984,-7.070927E-5,5.640403E-6,42.01262,0.01250839,1.211046E-7,9.865865E-8
44.0126,0.02732086,-1.06616E-4,7.63037E-8,44.01146,0.01594162,-5.325168E-5,1.271557E-8,44.01089,0.01137924,-6.066267E-5,7.441934E-6,44.01317,0.01365662,5.07544E-8,2.393076E-7
46.01914,0.01486969,-1.06598E-4,8.191676E-8,46.01728,0.01736069,-5.268964E-5,3.854543E-8,46.01604,0.01983261,-4.770159E-5,1.029195E-5,46.00674,0.01486969,1.087233E-8,2.48525E-9
48.02546,0.01506042,-1.064787E-4,1.524016E-7,48.02679,0.02153015,-5.186349E-5,1.874537E-8,48.02142,0.02045059,-2.505184E-5,2.38465E-6,48.01577,0.01935959,-1.034504E-7,1.331298E-9
50.02486,0.02553177,-1.06307E-4,2.729513E-7,50.0446,0.0197525,-5.097849E-5,1.234797E-7,50.03328,0.03599167,-1.798593E-5,6.988117E-6,50.02399,0.02553177,7.014656E-8,2.220412E-7
52.0392,0.03620911,-1.062759E-4,1.366274E-7,52.05075,0.033741,-4.98115E-5,3.007182E-8,52.0367,0.05369949,-3.298565E-6,1.291154E-5,52.04357,0.03123856,-3.052862E-7,1.32679E-7
54.04669,0.02946854,-1.060819E-4,9.356992E-8,54.03664,0.03749847,-4.784951E-5,3.929402E-8,54.043,0.03350067,-8.270329E-6,5.69914E-6,54.04937,0.03216171,-2.488623E-8,1.002245E-8
56.06052,0.04167938,-1.060594E-4,9.297825E-8,56.06016,0.02729797,-4.515011E-5,2.286899E-8,56.06304,0.03738022,1.898441E-6,1.650468E-5,56.05514,0.04166794,1.589991E-7,6.243984E-8
58.06721,0.02000046,-1.059868E-4,1.536775E-7,58.06451,0.02153015,-4.131423E-5,4.933939E-8,58.05913,0.0384407,-2.273793E-6,4.916958E-6,58.06489,0.02614975,1.289135E-7,4.367169E-7
60.07348,0.04431915,-1.06058E-4,1.374815E-7,60.06486,0.03940964,-3.699822E-5,9.869164E-8,60.05624,0.02462006,3.629268E-6,4.021379E-7,60.07101,0.04104996,2.201806E-8,2.564724E-7
62.08488,0.07341766,-1.059516E-4,3.236643E-8,62.05429,0.02619934,-3.211799E-5,8.920191E-8,62.06652,0.04718018,3.916843E-6,1.698567E-6,62.03421,0.01919937,-2.383639E-7,2.420535E-9
64.08138,0.06863403,-1.057829E-4,1.279943E-7,64.08324,0.0500946,-2.702253E-5,6.545058E-8,64.08185,0.05751038,3.642398E-6,9.31609E-8,64.06561,0.04080963,-6.577006E-8,1.523713E-7
66.05577,0.04125214,-1.056692E-4,7.186367E-8,66.0833,0.06290436,-1.94964E-5,7.254408E-8,66.08279,0.0393219,1.66692E-6,2.365604E-7,66.08083,0.04521179,2.703495E-8,6.202362E-8
68.08688,0.03119659,-1.056227E-4,1.927992E-7,68.07128,0.04989624,-1.157511E-5,3.428419E-9,68.07907,0.04989624,3.731314E-7,2.799124E-8,68.07907,0.03947449,1.17583E-8,5.52755E-8
70.07626,0.04608154,-1.052852E-4,7.541364E-8,70.08503,0.05267334,-5.673801E-6,9.27657E-8,70.05432,0.06357574,-1.217213E-7,2.11585E-7,70.08996,0.04389954,1.102188E-7,6.436573E-8
72.07999,0.07158661,-1.053391E-4,1.131873E-10,72.08172,0.06005859,-1.040238E-6,8.893141E-8,72.0742,0.05773926,-1.388823E-7,7.408477E-8,72.06902,0.0692749,-1.446722E-7,6.761989E-9
74.08411,0.08985901,-1.051542E-4,2.201082E-7,74.09504,0.04129791,1.053957E-6,2.400779E-7,74.10475,0.05101776,-1.294153E-8,2.133297E-7,74.08774,0.02429199,9.409385E-8,4.47877E-8
76.07858,0.09945679,-1.047859E-4,1.178383E-7,76.09195,0.07652283,5.918745E-7,3.973459E-7,76.09196,0.08673859,-6.61391E-8,9.442719E-8,76.0945,0.06632233,-3.411662E-8,2.08491E-7
78.10901,0.05885315,-1.027969E-4,5.032721E-8,78.08762,0.0909729,7.221339E-7,2.209874E-8,78.10033,0.06958771,-1.08123E-7,2.848471E-8,78.08627,0.0561676,-8.923791E-8,3.209577E-8
80.10832,0.0364151,-8.509017E-5,2.628056E-7,80.09082,0.06999969,4.477665E-7,4.217465E-7,80.08382,0.06157684,-4.986978E-8,6.237307E-8,80.07613,0.07556915,5.773081E-8,1.563902E-7
82.11571,0.07910156,-7.161754E-5,4.866027E-8,82.10179,0.0790863,7.599356E-7,2.355269E-8,82.10619,0.05857849,-6.829046E-8,1.543007E-8,82.10618,0.03806305,-2.221042E-8,3.211779E-8
84.09361,0.07647705,-5.709397E-5,2.317125E-7,84.11198,0.07038116,7.340598E-7,6.014552E-8,84.11427,0.061203,1.026825E-7,1.858526E-7,84.09973,0.05506897,1.007395E-7,2.469682E-7
86.10147,0.0574646,-7.654727E-6,1.326296E-6,86.11745,0.08940887,7.18654E-7,4.880352E-8,86.12862,0.05431366,-4.753042E-8,8.300476E-8,86.10864,0.04470825,-1.318298E-7,6.268154E-8
88.11497,0.01663208,-1.36142E-7,9.15953E-8,88.09669,0.1165085,7.420917E-7,7.907197E-8,88.0659,0.1064606,-2.12938E-8,4.722156E-8,88.11331,0.06993103,1.081345E-7,2.058188E-7
90.09769,0.0590744,1.13648E-7,3.564589E-8,90.11333,0.06951904,7.205977E-7,1.46484E-7,90.11159,0.06604004,-5.427938E-8,1.020595E-7,90.10551,0.05211639,5.271048E-8,1.246964E-7
92.11542,0.07246399,-1.925368E-7,3.534505E-8,92.08372,0.09414673,6.639013E-7,4.203278E-8,92.11089,0.07608032,-1.093355E-7,4.000993E-8,92.12356,0.05800629,2.539564E-8,1.203691E-7
94.13744,0.05666351,-4.66683E-9,6.846354E-8,94.09405,0.03392792,3.736039E-8,8.329798E-7,94.13462,0.05285645,-2.733814E-8,9.852808E-8,94.09782,0.06790924,-3.443746E-8,1.357835E-7
96.1363,0.08251953,-1.345064E-8,3.112788E-7,96.1255,0.08641815,4.664851E-7,2.707037E-7,96.13924,0.06678009,-6.209316E-8,6.257152E-8,96.10094,0.04319,-6.810579E-8,2.520536E-8
98.14069,0.09804535,-1.980246E-7,6.385886E-8,98.11922,0.06127167,-6.619385E-8,1.074106E-6,98.11718,0.1061935,1.189946E-10,1.196499E-7,98.11717,0.06536102,3.954671E-9,1.404922E-7
